"problem","Vampire 5.0","E 3.3.0","iProver 3.9.3","CSE_E 1.7","Drodi 4.1.0","ConnectPP 0.6.1","hopCoP 0.1","LisaTT 0.9.1","Vampire 4.9","CSI_Enigma 1.0.6","cvc5 1.3.0","Zipperpin 2.1.9999","Prover9 1109a","SPASS‑SCL 0.1","LastButNotLeast 0"
"SWB102+1","+1.74","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","6.78","TMO‑Non","TMO‑Non","UNK‑Non","GUP‑Non","GUP‑Non","GUP‑Non"
"GEO350+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SWV118+1","+15.54","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","33.06","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"SEU429+2","+22.75","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","10.39","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GRP622+2","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","36.34","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM785+4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEV522+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","230.62","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LAT378+3","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","59.85","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"NUM783+4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"ITP002+5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","3.33","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO325+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"NUM672+4","+15.56","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"LCL479+1","+25.00","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","4.77","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"CSR219+1","+5.96","TMO‑Non","TMO‑Non","+200.51","98.15","TMO‑Non","TMO‑Non","UNK‑Non","7.37","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SEU447+2","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SCT170+6","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO527+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO311+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","30.85","74.84","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO137+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.51","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"GEO475+1","+4.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","2.02","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"GEO323+1","TMO‑Non","+78.85","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","36.25","TMO‑Non","UNK‑Non","UNK‑Non","UNK‑Non","GUP‑Non","GUP‑Non"
"HWV128+1","+4.73","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","21.14","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non","TMO‑Non","GUP‑Non"
"NUM659+4","+1.56","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","10.39","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
"SWW273+1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","TMO‑Non","29.32","UNK‑Non","TMO‑Non","GUP‑Non","GUP‑Non"
