"problem","Vampire 5.0","E 3.3.0","Leo‑III 1.7.19","Vampire 4.9","Zipperpin 2.1.9999","cvc5 1.3.0"
"SEU788^1","TMO‑Non","239.97","TMO‑Non","21.46","TMO‑Non","UNK‑Non"
"SEV248^5","TMO‑Non","TMO‑Non","+63.87","2.81","UNK‑Non","16.98"
"SEU770^2","TMO‑Non","0.60","TMO‑Non","TMO‑Non","27.16","UNK‑Non"
"ITP213^3","+13.28","+8.77","UNK‑Non","14.72","UNK‑Non","TMO‑Non"
"ITP213^1","+20.38","+8.09","UNK‑Non","19.25","UNK‑Non","TMO‑Non"
"SEU645^1","TMO‑Non","+169.88","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU643^1","+65.94","TMO‑Non","TMO‑Non","TMO‑Non","19.30","UNK‑Non"
"SET013^7","+6.20","+0.94","TMO‑Non","6.55","UNK‑Non","UNK‑Non"
"ITP292^1","+6.72","+118.62","UNK‑Non","10.87","UNK‑Non","TMO‑Non"
"SEU476^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","198.37","165.47"
"SEV295^5","+0.72","TMO‑Non","TMO‑Non","0.90","76.19","UNK‑Non"
"SEV150^5","+2.16","TMO‑Non","TMO‑Non","0.63","UNK‑Non","UNK‑Non"
"ITP006^4","+25.24","TMO‑Non","TMO‑Non","38.18","3.47","TMO‑Non"
"ALG269^3","+3.11","TMO‑Non","TMO‑Non","0.46","7.16","UNK‑Non"
"SEV130^5","+70.47","TMO‑Non","TMO‑Non","33.64","UNK‑Non","164.51"
"ITP211^1","+20.79","TMO‑Non","UNK‑Non","16.44","UNK‑Non","TMO‑Non"
"NUM832^5","+0.38","TMO‑Non","TMO‑Non","0.33","122.93","TMO‑Non"
"SEU943^5","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"NUM792^4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","104.30","UNK‑Non"
"NUM795^4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","18.64","UNK‑Non"
"NUM815^5","+0.52","TMO‑Non","TMO‑Non","2.06","117.14","UNK‑Non"
"NUM636^4","+45.71","+1.14","TMO‑Non","48.27","42.41","TMO‑Non"
"SEV025^5","+17.49","TMO‑Non","TMO‑Non","24.80","UNK‑Non","UNK‑Non"
"SCT169^2","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"QUA008^1","+1.04","TMO‑Non","TMO‑Non","0.86","90.33","UNK‑Non"
"LCL692^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU987^5","+0.40","GUP‑Non","TMO‑Non","0.41","164.93","UNK‑Non"
"NUM826^5","+7.46","TMO‑Non","TMO‑Non","6.17","UNK‑Non","UNK‑Non"
"ANA129^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"NUM691^4","TMO‑Non","+0.53","TMO‑Non","TMO‑Non","11.43","UNK‑Non"
"SYO065^4.001","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","16.55","UNK‑Non"
"SEU691^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non"
"SYO873^1","2.19","+18.47","TMO‑Non","1.62","88.05","TMO‑Non"
"SEV102^5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","112.61"
"NUM784^4","TMO‑Non","+3.98","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU795^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU600^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU946^5","TMO‑Non","GUP‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"ITP268^1","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
"ITP217^1","+3.07","TMO‑Non","UNK‑Non","4.66","UNK‑Non","TMO‑Non"
"ITP005^4","+23.91","TMO‑Non","TMO‑Non","34.69","UNK‑Non","TMO‑Non"
"NUM705^4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","12.63","UNK‑Non"
"NUM793^4","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","74.67","UNK‑Non"
"LCL618^1","+0.96","TMO‑Non","TMO‑Non","0.98","UNK‑Non","UNK‑Non"
"SEV004^5","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","1.45"
"SEU912^5","TMO‑Non","TMO‑Non","TMO‑Non","16.72","TMO‑Non","UNK‑Non"
"SEU475^1","TMO‑Non","TMO‑Non","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"SEU701^1","TMO‑Non","+150.53","TMO‑Non","TMO‑Non","UNK‑Non","UNK‑Non"
"ITP268^3","TMO‑Non","TMO‑Non","UNK‑Non","TMO‑Non","UNK‑Non","TMO‑Non"
