"problem","Vampire 5.0.1","Vampire 5.0","E 3.5.1","CSI_PP 1.0","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Zipperpin 2.1.9999","Prover9 2026‑6A","Prover9 1109a","FindProof 0.1","mrs 0.2.0","SUPr 1.0","ConnectPP 0.7.2","VIP 1.718","SATResetCoP 1.0","SPASS‑SCL 0.1.1"
"ITP020+4","+12.54","+14.45","+18.47","+41.74","TMO","TMO","TMO","TMO","TMO","UNK","TMO","+19.22","UNK","TMO","TMO","UNK","GUP"
"ITP012+5","+5.61","+7.21","+17.66","+23.73","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"SYN076+1","+39.08","+8.57","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWW937+1","+1.53","+2.88","+4.76","+3.70","+52.83","TMO","TMO","+50.18","TMO","TMO","+146.65","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV563+1","+1.72","+3.32","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB055+1","+1.58","+0.62","+71.90","+4.67","+7.02","TMO","+9.30","+101.00","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO514+1","+2.44","+0.74","TMO","TMO","TMO","+38.05","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWX194+1*","+112.66","TMO","TMO","TMO","TMO","+83.88","TMO","UNK","+11.17","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV612+1*","+13.02","+1.42","+6.19","+7.93","+64.56","TMO","+9.95","UNK","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"SEV621+1*","+2.77","+1.34","+2.98","+7.12","+4.47","+11.93","TMO","+54.52","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV616+1*","+7.55","+2.71","+0.79","+1.58","+99.44","TMO","+18.64","UNK","UNK","TMO","TMO","TMO","+50.43","TMO","TMO","UNK","GUP"
"SWX209+1*","+29.64","+3.94","+41.52","+77.84","TMO","TMO","+169.25","+22.90","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWX210+1*","+17.48","+3.92","+61.31","+46.62","TMO","TMO","+161.45","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWX212+1*","+17.82","+37.85","+17.92","+29.32","TMO","+76.85","+88.43","+87.80","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV641+1*","+2.67","+1.44","+38.55","+55.22","+8.91","TMO","+27.97","+30.59","UNK","TMO","TMO","UNK","+136.39","TMO","TMO","UNK","GUP"
"ITP004+4","+3.81","+3.80","+79.69","+72.87","+115.95","+130.35","+12.48","UNK","+6.31","UNK","TMO","+4.87","UNK","TMO","+35.68","UNK","GUP"
"GEO513+1","+8.42","+1.23","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO337+1","+4.03","+1.63","TMO","TMO","+58.19","+0.99","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LAT287+3","+4.14","+2.08","+8.11","+60.14","TMO","TMO","TMO","+41.80","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWB093+1","+2.59","+2.34","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"AGT022+1","+2.01","+4.68","TMO","TMO","+38.52","+121.15","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWX051+1","+3.53","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","+22.52","TMO","TMO","UNK","GUP"
"SEV634+1*","+12.49","+1.37","TMO","TMO","+122.90","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"SEV636+1*","+8.38","+6.82","TMO","TMO","TMO","TMO","GUP","+135.87","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV630+1*","+2.48","+3.97","TMO","TMO","+170.48","TMO","TMO","UNK","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV640+1*","+2.93","+1.14","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWB095+1","+1.59","+2.54","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"ITP002+2","+3.25","+9.36","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB042+1","+2.04","+1.16","TMO","TMO","+65.79","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LAT305+3","+3.67","+4.37","TMO","TMO","TMO","TMO","TMO","TMO","+168.21","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"LAT351+3","+4.08","+32.76","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWB020+1","+2.72","+1.78","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB090+1","+1.76","+2.66","TMO","TMO","TMO","+96.51","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV627+1*","+1.63","+1.36","+94.79","+77.83","+79.46","TMO","+173.88","UNK","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV625+1*","+4.39","+1.22","+96.70","+39.99","TMO","TMO","+16.11","UNK","UNK","TMO","GUP","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV658+1*","+24.18","+18.87","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV645+1*","+160.28","+17.52","+0.75","+0.94","+22.93","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV657+1*","+14.69","+1.72","TMO","TMO","+109.33","TMO","+85.77","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWV234+1","+3.51","+65.01","+71.60","+47.84","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO491+1","+10.90","+29.71","TMO","TMO","+52.31","TMO","+161.22","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWW279+1","+55.02","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO310+1","+5.25","TMO","+60.33","+74.84","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWB099+1","+1.62","+2.23","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"CSR036+5","+79.46","+68.81","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"BIO006+1","+24.79","+13.41","TMO","TMO","TMO","+50.54","GUP","UNK","GUP","UNK","TMO","TMO","TMO","TMO","UNK","UNK","UNK"
"GEO517+1","+1.94","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"ITP012+4","+7.16","+6.94","+16.60","+58.29","TMO","+49.32","+60.50","TMO","TMO","UNK","TMO","+13.02","TMO","TMO","TMO","UNK","GUP"
"GEO330+1","+3.61","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SCT124+1","+34.41","TMO","+51.06","+37.36","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"HWV051+1","+47.07","+10.44","TMO","TMO","+138.19","TMO","TMO","UNK","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","GUP"
"ITP006+4","+5.16","+7.83","TMO","TMO","+145.99","TMO","+14.15","TMO","TMO","UNK","TMO","+3.41","TMO","TMO","TMO","UNK","GUP"
"GEO520+1","+40.55","+39.63","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB091+1","+2.84","+0.61","TMO","TMO","TMO","TMO","TMO","+97.16","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM669+4","+2.60","+13.26","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LAT303+4","+5.91","+4.55","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SET817+4","+23.81","+4.55","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWB103+1","+3.46","+3.83","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"LCL891+1","+10.48","+139.28","+81.32","+50.15","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SWX189+1*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"REL040+2","+2.23","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV675+1*","TMO","+21.93","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"SEV671+1*","+7.38","+8.99","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV651+1*","+179.21","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV650+1*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV622+1*","+49.54","+2.04","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","GUP","TMO","UNK","TMO","TMO","TMO","GUP"
"NUM658+4","+2.01","+7.27","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SCT170+3","+4.26","+56.64","TMO","TMO","TMO","TMO","+30.73","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM671+4","+3.32","+3.98","TMO","TMO","TMO","+32.17","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM789+4","+5.32","+9.50","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM785+4","+3.25","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO328+1","+10.02","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV522+1","+4.27","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SCT125+1","+28.97","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"ITP018+5","+8.97","+5.09","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","GUP"
"GEO323+1","+5.38","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"ITP009+2","+2.87","+0.74","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM695+4","+6.45","+147.11","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"CSR208+1","+26.07","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","UNK","UNK","GUP"
"NUM656+4","+3.25","+11.62","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"TOP020+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM657+4","+3.19","+2.70","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM653+4","+2.14","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEV618+1*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWX201+1*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV620+1*","+47.83","+84.30","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","TMO","GUP"
"SEV626+1*","TMO","+27.19","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SWX211+1*","+129.81","+4.34","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV676+1*","+137.10","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","UNK","TMO","UNK","UNK","GUP"
"SWX202+1*","TMO","+80.73","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"SEV654+1*","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM757+4","+7.37","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM796+4","+13.42","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM747+4","+21.50","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM664+4","+10.25","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO351+1","+53.30","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUM698+4","+12.28","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO480+1","+21.27","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","TMO","TMO","TMO","UNK","GUP"
"NUM691+4","+18.17","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO501+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM787+4","+3.18","+7.59","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"SEU440+4","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO095+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM647+4","+4.21","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GEO349+1","+95.15","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUM707+4","+19.93","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM786+4","+6.04","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"GRP652+2","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"NUM709+4","+6.84","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM689+4","+4.48","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM743+4","+17.57","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"TOP046+3","+143.12","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","GUP"
"GEO138+1","+3.80","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM795+4","+14.94","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM783+4","+111.80","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM690+4","+9.44","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM750+4","+5.68","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","UNK","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
"NUM663+4","+4.42","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","GUP"
