"problem","Vampire 5.0.1","Vampire 5.0","CSI_PP 1.0","E 3.5.1","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Prover9 2026‑6A","Zipperpin 2.1.9999","ConnectPP 0.7.2","FindProof 0.1","mrs 0.2.0","Prover9 1109a","SUPr 1.0","SPASS‑SCL 0.1.1","VIP 1.718","SATResetCoP 1.0"
"LCL369+1","+2.50","+41.30","+8.58","+14.66","+61.93","+4.36","TMO","+1.08","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL688+1.015","+4.68","+86.02","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL374+1","+6.06","TMO","+12.01","+11.74","TMO","TMO","TMO","+72.36","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"CSR116+38","+2.40","+0.67","+0.94","+0.93","+56.60","+60.21","+14.39","+0.94","+12.00","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK"
"NUN066+1","+3.29","+0.46","+72.93","+3.01","+2.89","+1.39","+3.76","UNK","UNK","+160.64","TMO","+0.45","TMO","UNK","TMO","TMO","UNK"
"LCL390+2","+2.40","+63.11","+11.33","+34.52","+176.56","TMO","TMO","UNK","UNK","TMO","TMO","UNK","+52.02","UNK","TMO","TMO","UNK"
"LCL375+1","+2.63","TMO","+10.35","+10.86","TMO","TMO","GUP","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL382+1","+4.16","+46.41","+2.48","+5.54","TMO","+2.75","+10.53","+4.25","UNK","TMO","+13.69","TMO","+5.65","UNK","TMO","TMO","UNK"
"LCL372+2","+3.08","+75.03","TMO","TMO","TMO","TMO","TMO","+5.88","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"SYN986+1.004","+10.26","+4.97","+69.42","TMO","+5.47","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"PRD001+1","+2.82","+1.68","+5.17","+9.64","+4.77","+14.90","TMO","TMO","UNK","TMO","GUP","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL650+1.010","+37.70","+25.47","TMO","TMO","+43.81","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","GUP","TMO","TMO","UNK"
"NLP260+1","+24.60","+18.07","+12.04","+21.30","+38.05","TMO","GUP","+13.88","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","UNK"
"CSR030+3","+1.90","+0.66","+0.66","+0.65","+22.73","+1.50","+35.04","+0.34","+2.96","+49.01","TMO","+0.84","TMO","+18.27","TMO","+49.21","UNK"
"CSR116+3","+1.46","+1.38","+0.85","+1.11","+46.05","+14.69","+10.53","+0.88","+8.80","TMO","GUP","UNK","TMO","TMO","TMO","TMO","UNK"
"LCL392+2","+2.22","+46.17","+21.98","+74.35","TMO","TMO","TMO","UNK","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"NUN065+1","+2.29","+0.54","+3.11","+2.11","+2.18","+0.44","+3.98","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"LCL978+1","+2.82","+32.97","TMO","TMO","TMO","TMO","TMO","UNK","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"LCL395+1","+10.12","TMO","+5.57","+14.98","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"LCL664+1.010","+1.21","+0.55","TMO","TMO","+6.58","TMO","TMO","TMO","UNK","TMO","GUP","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL383+1","+3.33","+43.76","+3.14","+14.29","TMO","+91.21","+42.96","+5.91","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL393+1","+2.68","TMO","+3.11","+11.82","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"MGT067+1","+1.86","+0.49","+0.51","+0.55","+1.14","+0.43","+5.72","+0.39","+0.87","+72.70","+1.19","+0.41","+0.80","+2.49","TMO","+46.79","UNK"
"NUN082+1","+4.23","+1.12","+3.99","+6.40","+0.95","+50.64","+3.39","+7.04","+157.82","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL652+1.010","+3.02","+6.59","+135.45","+60.44","+12.08","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"NUN056+1","+1.55","+10.19","+158.91","+87.55","TMO","+114.96","+13.01","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL983+1","+17.38","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL395+2","+4.19","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"SYO525+1.021","+22.81","+1.08","+135.53","+0.58","TMO","+81.13","TMO","TMO","UNK","TMO","GUP","UNK","UNK","GUP","+50.31","TMO","UNK"
"LCL109+1","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL646+1.010","+29.35","+42.87","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP","UNK","TMO","UNK","TMO","TMO","UNK"
"SYN353+1","+1.71","+0.64","+0.43","+0.51","+1.03","+0.42","+2.26","+0.78","+0.97","TMO","+1.99","+54.56","+1.20","UNK","TMO","TMO","UNK"
"LCL393+2","+10.58","TMO","TMO","TMO","TMO","TMO","GUP","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"NUN075+1","+3.33","TMO","TMO","TMO","TMO","TMO","+52.86","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"NUN057+1","+6.59","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL073+1","+57.74","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"SYO525+1.024","+21.70","+0.86","+135.46","+1.49","TMO","177.64","TMO","TMO","+137.57","TMO","GUP","UNK","UNK","GUP","TMO","TMO","UNK"
"LCL391+2","+4.22","TMO","TMO","TMO","TMO","TMO","GUP","UNK","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"SYO525+1.027","TMO","+1.24","+135.58","+1.75","TMO","TMO","TMO","TMO","UNK","TMO","GUP","UNK","UNK","GUP","+68.10","TMO","UNK"
"LCL646+1.015","+33.86","+34.28","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP","TMO","TMO","UNK","TMO","TMO","UNK"
"LAT258+1","+22.49","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","GUP","TMO","TMO","UNK"
"NUN086+1","+4.02","+1.18","+10.14","+3.77","+1.31","+51.08","+2.35","UNK","+79.58","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL979+1","+67.75","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","GUP","TMO","UNK"
"LCL638+1.020","+82.77","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","GUP","TMO","TMO","TMO","TMO","TMO","UNK"
"SYO525+1.030","TMO","+1.67","+135.57","+1.38","TMO","TMO","TMO","TMO","UNK","TMO","GUP","UNK","UNK","GUP","+109.13","TMO","UNK"
"LCL062+2","+14.77","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK"
"LCL666+1.010","TMO","TMO","TMO","TMO","TMO","TMO","TMO","TMO","UNK","TMO","TMO","UNK","TMO","UNK","TMO","TMO","UNK"
"LCL662+1.020","TMO","TMO","UNK","TMO","TMO","TMO","GUP","TMO","UNK","TMO","TMO","TMO","TMO","GUP","TMO","TMO","UNK"
