"problem","Vampire 5.0","Vampire 5.0.1","Zipperpin 2.1.9999","E 3.5.1","Leo‑III 1.8.0","LEO‑II 1.7.0"
"SET741^4","+0.43","+0.58","+1.11","+0.42","+2.62","+0.38"
"SET640^3","+0.45","+0.48","+0.84","+0.49","+2.68","GUP"
"ITP077^1","+0.49","+0.77","+1.68","+0.75","+44.54","GUP"
"GEG020^1","+0.67","+1.11","+15.38","+0.95","+3.33","GUP"
"SEU640^1","+30.83","+2.39","+2.98","TMO","TMO","GUP"
"SEU997^5","+0.80","+0.77","+1.33","+0.43","+2.76","+0.97"
"SEU819^1","+3.92","+1.73","+9.27","+19.37","TMO","GUP"
"SEV429^1","+0.38","+0.44","+0.89","+0.43","+2.50","TMO"
"SEU611^1","+0.87","+1.57","+7.80","+180.00","TMO","GUP"
"SEU813^1","+1.61","+3.38","+1.64","+0.80","TMO","GUP"
"ITP058^1","+0.68","+0.66","+2.35","+0.63","TMO","GUP"
"ITP236^3","+7.06","+6.57","+12.37","+9.64","GUP","GUP"
"SEU753^2","+0.47","+0.80","+2.59","+0.43","TMO","TMO"
"SEU868^5","+1.19","+0.69","+7.17","+0.58","UNK","GUP"
"ITP170^1","+0.54","+0.78","+1.20","+0.56","TMO","GUP"
"SWW470^1","+0.97","+1.50","+0.95","+0.52","+28.45","GUP"
"SET609^3","+0.48","+0.46","+0.82","+0.40","+3.49","GUP"
"SEU807^2","+1.38","+0.60","+0.81","+0.33","+2.34","GUP"
"SWW474^3","+5.76","+0.82","+6.10","+1.54","+30.87","GUP"
"AGT039^1","+0.60","+0.42","+1.39","+0.45","+2.51","+0.56"
"ITP124^1","+0.48","+0.93","+1.47","+0.66","TMO","+18.02"
"CSR148^2","+0.53","+0.50","+1.03","+0.43","+3.02","+0.60"
"QUA005^1","+0.96","+0.63","+0.81","+0.62","+10.22","+91.44"
"NUM651^1","+0.57","+0.44","+1.28","+0.42","+5.25","GUP"
"SWX158^1*","+0.79","+0.51","+1.78","+0.73","TMO","GUP"
"SWX181^1*","+2.06","+0.85","+7.80","TMO","TMO","GUP"
"SWX180^1*","+0.42","+0.54","+9.64","+0.53","TMO","GUP"
"SWX176^1*","+0.45","+0.57","+10.88","+1.75","+96.16","GUP"
"SWX154^1*","+1.43","+1.14","+2.42","TMO","+15.87","GUP"
"NUM926^3","+2.03","+1.51","+20.56","+1.48","TMO","GUP"
"ITP269^3","+5.19","+4.94","+12.94","+31.61","TMO","GUP"
"ITP061^1","+4.19","+0.73","+4.69","+0.68","TMO","GUP"
"SEU676^1","+0.90","+0.78","+0.95","+1.03","TMO","GUP"
"ITP086^1","+0.67","+0.82","+16.17","+45.88","TMO","GUP"
"SEV010^5","+0.73","+1.37","+7.19","+13.98","TMO","+0.68"
"CSR128^2","+0.62","+0.61","+0.83","+0.45","+4.84","TMO"
"SEV199^5","+0.69","+0.85","+1.11","+0.43","+102.28","TMO"
"SEU689^2","+0.52","+0.48","+1.61","+0.54","TMO","TMO"
"ITP010^5","+31.49","+22.85","+6.51","+5.91","TMO","GUP"
"NUN025^3","+0.35","+0.42","+0.74","+0.52","+4.07","GUP"
"SEU749^1","+2.08","+3.43","+105.92","+18.29","TMO","GUP"
"ITP110^1","+0.67","+0.75","+0.84","TMO","TMO","GUP"
"SWV446^1","+1.23","+2.94","+35.25","+0.70","+65.11","+9.54"
"SYO544^1","+3.21","+0.69","+6.96","+0.61","TMO","TMO"
"SEU742^1","+0.79","+1.16","+2.42","+18.46","TMO","GUP"
"ITP100^1","+0.51","+0.99","+0.62","+0.58","TMO","GUP"
"SEU645^2","+0.68","+0.40","+7.91","+0.41","+2.64","TMO"
"SEU639^2","+0.66","+0.96","+4.45","+6.26","+2.44","TMO"
"SEU691^2","+0.73","+0.87","+3.08","+0.46","TMO","TMO"
"ITP150^1","+2.29","+2.20","+8.27","+0.78","+18.15","+8.78"
"ITP001^4","+0.46","+0.64","+0.76","+0.47","+3.85","GUP"
"SEU675^1","+1.74","+1.46","+18.14","+18.49","TMO","GUP"
"ITP269^1","+11.96","+12.79","+11.45","+27.61","TMO","GUP"
"SEU657^1","+6.86","+1.49","+2.53","+0.99","TMO","GUP"
"SEU776^1","+3.75","+2.34","+39.67","+2.16","TMO","GUP"
"ITP156^1","+0.76","+0.64","+2.13","+0.39","TMO","GUP"
"ITP084^1","+1.84","+0.80","+7.35","+0.50","TMO","GUP"
"ITP085^1","+1.33","+0.64","+10.44","+0.64","TMO","GUP"
"LCL872^1","+0.64","+0.45","+1.81","+179.99","TMO","+0.64"
"SYO208^5","+0.53","+0.68","+0.78","+0.48","+3.05","GUP"
"LCL945^9","+3.15","+85.37","+7.85","+39.55","TMO","TMO"
"GEG014^1","+0.70","+0.90","+11.73","+61.17","+19.00","GUP"
"SWX165^1*","+1.05","+1.11","+3.31","+0.50","TMO","GUP"
"SWX178^1*","+0.62","+0.52","+89.84","+0.62","+121.81","GUP"
"SWX179^1*","+0.75","+0.62","TMO","+3.99","+159.84","GUP"
"SWX175^1*","+0.52","+0.47","+47.90","+3.77","TMO","GUP"
"SWX157^1*","+3.46","+1.08","+86.22","+0.76","TMO","GUP"
"SWX155^1*","+0.97","+1.60","+1.54","+0.75","+6.11","GUP"
"SWX160^1*","+1.92","+0.74","+82.35","+0.54","TMO","GUP"
"SWX184^1*","+42.17","+14.86","+9.59","+0.69","TMO","GUP"
"SWX183^1*","+38.19","+1.26","+9.39","+0.38","TMO","GUP"
"SWX167^1*","+4.48","+1.15","+18.18","+1.08","TMO","GUP"
"SWX172^1*","+5.01","+4.06","+87.85","+0.66","TMO","GUP"
"ITP147^1","+0.77","+0.63","+11.77","+19.92","TMO","GUP"
"ITP076^1","+0.56","+0.49","+1.45","TMO","+52.13","GUP"
"ITP210^3","+16.53","+12.39","+4.18","+7.92","+4.22","GUP"
"ITP004^2","+1.95","+0.88","+5.54","+0.45","+17.41","TMO"
"ITP246^1","+9.89","+6.75","+12.02","+25.69","TMO","GUP"
"ITP141^1","+1.13","+1.87","+9.47","+19.14","TMO","GUP"
"ALG247^2","+0.63","+1.01","+0.89","TMO","+3.73","TMO"
"ITP015^2","+6.00","+7.83","+20.20","+6.15","TMO","+56.76"
"SEU968^5","+3.06","+3.57","+164.38","+0.55","+119.07","TMO"
"SEU665^1","+1.62","+1.34","+19.94","+1.10","TMO","GUP"
"ITP280^3","+20.90","+12.78","+10.78","+36.61","TMO","GUP"
"MSC007^1.003.004","+0.66","+0.68","+19.54","+0.52","+6.21","TMO"
"LCL460^7","+6.37","+2.37","+37.89","+6.63","TMO","TMO"
"SEU764^1","+3.37","+54.61","+16.69","TMO","TMO","GUP"
"ITP225^1","+10.44","+6.25","+5.73","+9.55","TMO","GUP"
"ALG251^3","+0.91","+0.95","+4.96","+0.47","+19.50","TMO"
"SEU655^2","+0.56","+2.18","+1.92","+0.48","TMO","TMO"
"NUM639^4","+0.60","+1.02","+1.77","+0.61","TMO","GUP"
"ITP246^3","+19.22","+12.26","+23.38","+26.22","TMO","GUP"
"SEU630^1","+1.41","+1.25","+9.32","+32.51","TMO","GUP"
"SEU490^1","+0.64","+1.42","+7.78","+28.45","TMO","GUP"
"ITP243^3","+18.88","+5.04","+7.82","+55.33","TMO","GUP"
"SEU743^1","+52.42","+8.01","+17.01","+19.39","TMO","GUP"
"SEU938^5","+0.47","+2.76","+1.50","+0.34","+21.22","GUP"
"SEV041^5","+1.23","+2.95","+3.98","TMO","+86.49","+13.51"
"ALG251^2","+0.69","+0.95","+4.64","+0.58","+4.09","+2.83"
"COM024^5","+6.97","+0.57","+0.80","+0.50","+4.13","TMO"
"SWX170^1*","+4.05","+4.20","+88.95","+0.84","TMO","GUP"
"SWX168^1*","+5.90","+4.38","+88.41","+0.59","TMO","GUP"
"SWX166^1*","+3.53","+2.46","+88.14","+0.81","TMO","GUP"
"SWX162^1*","+1.04","+0.96","+88.41","+0.60","TMO","GUP"
"SWX171^1*","+11.03","+8.68","+88.87","+0.91","TMO","GUP"
"SWX161^1*","+7.62","+1.24","+7.56","+0.91","TMO","GUP"
"SWX169^1*","+3.96","+10.68","+87.81","+0.67","TMO","GUP"
"SWX156^1*","+8.41","+1.20","+17.09","+0.85","TMO","GUP"
"ITP185^1","+0.85","+0.67","+10.26","TMO","TMO","GUP"
"SEU481^1","+0.89","+1.42","+6.95","+0.46","TMO","GUP"
"SYO246^5","+0.54","+0.44","+4.65","+0.67","TMO","+0.54"
"NUM654^4","+97.29","+4.54","+2.75","+0.53","TMO","GUP"
"ITP019^5","+56.55","+26.33","+11.73","+8.85","TMO","GUP"
"ITP011^1","+9.39","+1.20","+13.71","+0.99","TMO","TMO"
"ITP278^1","+14.41","+12.39","+18.78","TMO","TMO","GUP"
"ITP262^1","+11.68","+14.51","+91.34","+37.58","TMO","GUP"
"ALG292^5","+52.72","+65.34","+83.66","TMO","TMO","TMO"
"SEU953^5","+50.16","+0.58","+1.01","+0.43","+3.50","TMO"
"NUM656^4","+4.16","+1.26","+3.33","+0.64","TMO","GUP"
"ITP256^1","+7.72","+11.15","+20.26","+39.98","TMO","GUP"
"ITP208^3","+24.29","+8.46","+33.66","+24.65","GUP","GUP"
"NUM782^4","+1.67","+3.94","+1.13","+0.51","TMO","GUP"
"NUM726^4","+3.31","+2.98","+1.80","+0.94","TMO","GUP"
"SEU716^1","+1.20","+0.75","+5.16","+1.96","TMO","GUP"
"SWX163^1*","+8.50","+14.78","+88.44","+0.90","TMO","GUP"
"SWX164^1*","+6.79","+5.22","+88.03","+0.65","TMO","GUP"
"SWX182^1*","+1.32","+1.16","TMO","TMO","TMO","GUP"
"ITP009^1","+51.59","+21.03","+18.25","+0.49","TMO","TMO"
"ITP012^4","+36.18","+46.01","+4.85","+22.29","+17.99","GUP"
"ITP158^1","+4.15","+2.76","+43.13","+2.07","TMO","GUP"
"SYO069^4.003","+7.42","+20.45","+17.30","TMO","TMO","TMO"
"SYO069^4.002","+7.87","+7.68","+6.07","TMO","TMO","TMO"
"SEU701^2","+3.20","+23.21","+7.48","TMO","TMO","GUP"
"LCL877^1","+2.03","+0.61","+46.17","TMO","TMO","+1.65"
"SEV170^5","+4.29","+2.17","+31.09","GUP","TMO","TMO"
"NUM684^4","+1.10","+2.45","+11.50","+0.61","TMO","GUP"
"SEU906^5","+0.58","+0.54","+26.86","GUP","+6.70","TMO"
"NUM746^4","+16.19","TMO","+17.41","+1.87","TMO","GUP"
"NUM702^4","TMO","+3.28","+17.71","+1.34","TMO","GUP"
"SYO067^4.002","+116.36","+10.80","+6.52","+6.11","TMO","+12.66"
"NUM699^4","+6.15","+1.02","+17.14","+0.59","TMO","GUP"
"PHI005^4","+39.11","+6.18","+10.34","+3.75","TMO","TMO"
"NUM750^4","+71.31","+113.77","+18.59","+0.83","TMO","GUP"
"NUM672^4","+15.97","+0.97","+12.16","+1.05","TMO","GUP"
"SEU486^1","+11.12","+25.21","+82.54","TMO","TMO","GUP"
"ALG265^2","+1.52","+6.23","+17.63","TMO","TMO","TMO"
"SEV529^1","+1.27","+1.43","+0.95","TMO","TMO","TMO"
"NUM671^4","+0.48","+0.58","+0.71","+0.47","TMO","GUP"
"SYO873^1","+4.33","+3.19","+105.01","+61.55","TMO","TMO"
"SEU773^1","TMO","+16.73","+40.47","+1.10","TMO","GUP"
"ITP238^3","+17.70","+10.61","+99.84","+46.24","GUP","GUP"
"SEV023^5","+147.41","+4.34","+7.82","+6.05","TMO","TMO"
"SYO066^4.003","+52.35","+5.96","+156.27","TMO","TMO","TMO"
"SEU634^1","+77.85","+61.55","+9.06","TMO","TMO","GUP"
"ITP013^2","+3.32","+6.84","+33.95","+52.96","TMO","TMO"
"NUM681^4","+1.02","+0.67","+11.35","+0.98","TMO","GUP"
"ITP292^1","+12.56","+14.34","TMO","+126.26","GUP","GUP"
"NUM743^4","+25.75","TMO","+18.47","+1.88","TMO","GUP"
"SEU711^1","TMO","+21.40","+9.68","+73.74","TMO","GUP"
"NUM677^4","+0.73","+0.60","+10.83","+0.74","TMO","GUP"
"SYO881^1","+3.00","+2.71","TMO","+60.83","TMO","TMO"
"SYO069^4.004","+11.70","+17.40","+32.21","TMO","TMO","TMO"
"NUM673^4","+0.79","+0.65","+17.45","+0.91","TMO","GUP"
"ITP021^2","+21.05","+8.49","TMO","+36.62","TMO","GUP"
